attribute,subgroup,rows,error_prevalence,method,AUROC,AUPRC,AURC
object_size,large,7530,0.48725099601593624,box_variance,0.7307908670677818,0.7008261286770585,0.30197279426749485
object_size,large,7530,0.48725099601593624,confidence,0.8852582968145791,0.8685554096653664,0.2137304497796529
object_size,large,7530,0.48725099601593624,embedding_variance,0.6789038465244517,0.6070623761493392,0.3204792317438218
object_size,large,7530,0.48725099601593624,geometric,0.8044584046219369,0.7610315261293443,0.25603293367178576
object_size,large,7530,0.48725099601593624,predictive_entropy,0.753351279107616,0.7281480323607695,0.2917257764966811
object_size,large,7530,0.48725099601593624,presence,0.5041645815698691,0.4902149726714102,0.4839791819097801
object_size,large,7530,0.48725099601593624,representation,0.6023810940682023,0.5762410364156054,0.4343487996971903
object_size,large,7530,0.48725099601593624,semantic,0.7703641159623716,0.7250082681573986,0.2835489494123095
object_size,large,7530,0.48725099601593624,semantic_geometric,0.8330778979457093,0.8004964945846914,0.24445724713430347
object_size,large,7530,0.48725099601593624,semantic_mi,0.6008208804611095,0.5234815204733578,0.38297549622953864
object_size,medium,16911,0.5081899355449115,all_internal,0.7874629573008942,0.7855957507220241,0.3025567685451023
object_size,medium,16911,0.5081899355449115,all_internal_rf,0.8415347000763805,0.8312692502881951,0.24666793537633053
object_size,medium,16911,0.5081899355449115,all_plus_confidence,0.8262884851702869,0.8224308088172735,0.2667602381546101
object_size,medium,16911,0.5081899355449115,box_variance,0.7174183951160985,0.6884473817133863,0.33278153218508677
object_size,medium,16911,0.5081899355449115,confidence,0.7720089602290259,0.7484067772975413,0.2979892027063071
object_size,medium,16911,0.5081899355449115,embedding_variance,0.6961019441717589,0.6510087521134711,0.3369042808980796
object_size,medium,16911,0.5081899355449115,geometric,0.7590275590378226,0.739299033656982,0.30060668004962315
object_size,medium,16911,0.5081899355449115,predictive_entropy,0.637393769330359,0.6338182306375233,0.39008647529575713
object_size,medium,16911,0.5081899355449115,presence,0.5077546895335849,0.5141609452903514,0.5018476051913432
object_size,medium,16911,0.5081899355449115,representation,0.6169011859008142,0.620367399204433,0.44598428253898187
object_size,medium,16911,0.5081899355449115,semantic,0.6613521030426058,0.6714615342463632,0.3819940298684138
object_size,medium,16911,0.5081899355449115,semantic_geometric,0.7620862792865966,0.7566719552691207,0.3184478124925101
object_size,medium,16911,0.5081899355449115,semantic_mi,0.6267174469500365,0.598615656790371,0.40188705007100256
object_size,small,23364,0.6383752782057867,all_internal,0.7177570044510322,0.8074203173264797,0.47652527209831064
object_size,small,23364,0.6383752782057867,all_internal_rf,0.7920392382493975,0.8566167301471763,0.4083878448037799
object_size,small,23364,0.6383752782057867,all_plus_confidence,0.7839082294044284,0.8532525084955941,0.42366332103161813
object_size,small,23364,0.6383752782057867,box_variance,0.642410777893287,0.7285938718766553,0.5177179293952275
object_size,small,23364,0.6383752782057867,confidence,0.7244383776183554,0.7879439147221079,0.45371080398032165
object_size,small,23364,0.6383752782057867,embedding_variance,0.6100107338832943,0.6899882855001171,0.5240008503098075
object_size,small,23364,0.6383752782057867,geometric,0.7026377547095197,0.7806328235534006,0.46655916783547197
object_size,small,23364,0.6383752782057867,predictive_entropy,0.5531234298972831,0.671390916207103,0.5670997345162898
object_size,small,23364,0.6383752782057867,presence,0.5079510090854131,0.6424910090327066,0.63117335467891
object_size,small,23364,0.6383752782057867,representation,0.5499365937892345,0.6631373406706609,0.5943428687812011
object_size,small,23364,0.6383752782057867,semantic,0.5892507933563004,0.7103970110940131,0.5428247170830691
