attribute,value,rows,error_prevalence,status,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
category_name,traffic light,10307,0.6867177646259823,estimable,equal_fusion,0.8669282002160956,0.4686910104554678,0.7814261578127227,0.16953524770489492,0.015038323469486756,0.02260599592509945,0.0884835548656253,0.07185698634077581,10307.0,0.5177558238260456,0.5180442374854481,0.6011088011088012,0.633276740237691,0.6601271962919047,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,estimable,learned_spatial_quality,0.7940801712413943,0.5863388908945814,0.6486111357837121,0.20734174293827817,0.0,0.0,0.0,0.03492309896365408,10307.0,0.6029104541895212,0.5954598370197904,0.6328482328482329,0.6494057724957555,0.6660558370162768,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,estimable,product_fusion,0.8709817411310359,0.46223143090767127,0.7933953396874591,0.1683581532461618,0.014456194819055012,0.021926845832929077,0.08693121179780731,0.0869884525609109,10307.0,0.5151695779060236,0.5042685292976329,0.5983367983367983,0.6330341983992238,0.6609895440336315,0.6867177646259823
category_name,traffic light,10307,0.6867177646259823,estimable,spatial_agreement,0.7774720916042319,0.5909614205511804,0.6330552334991127,0.20710135095642523,0.0,0.0,0.0,0.040101180010075115,10307.0,0.6030738867061288,0.6039968956150563,0.6455994455994456,0.658258549599806,0.6693974345154684,0.6867177646259823
category_name,traffic sign,6419,0.44975852936594485,estimable,capacity_control_product,0.729407393491002,0.2216866389851801,0.8017502209498509,0.1920777320880632,0.15360648076024302,0.2536220595108272,0.4580152671755725,0.10644168652668923,6419.0,0.5689540083002045,0.22336448598130842,0.3206497552291945,0.36682242990654207,0.4091381100726895,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,estimable,confidence,0.6949411032921388,0.23124272207860827,0.7803863415529686,0.2010855421481349,0.1375603676585138,0.23570649633899363,0.4316871786882692,0.11224003394866162,6419.0,0.5903192515821656,0.23862928348909657,0.3342234089897641,0.37772585669781933,0.41761855313257185,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,estimable,direct_spatial_fusion,0.743289377459196,0.22028342725354105,0.8049961144992921,0.18163703034550244,0.15781274341797788,0.257516747156878,0.45287427948278547,0.05147752592278207,6419.0,0.5401897158849696,0.22461059190031152,0.3153093012906097,0.3629283489096573,0.40792661820699205,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,estimable,equal_fusion,0.7204399060289126,0.2270794080801349,0.789647111803959,0.18715055850797263,0.1342888300358311,0.2489484343355663,0.4397881289920548,0.04725813408602119,6419.0,0.5518904196543407,0.23707165109034267,0.32910547396528705,0.3695482866043614,0.41104188300449984,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,estimable,learned_spatial_quality,0.6416582038523534,0.3101251711435804,0.6924968451146448,0.22210413392495668,0.00015578750584203146,0.00015578750584203146,0.14955600560835022,0.04390896605972716,6419.0,0.635219742758687,0.3130841121495327,0.3660436137071651,0.38648753894080995,0.4143302180685358,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,estimable,product_fusion,0.7266632204496578,0.2241426089154612,0.7958914703746753,0.18623949396045197,0.14332450537466895,0.25284312198161707,0.4489795918367347,0.062122276227708946,6419.0,0.5502692236194991,0.23146417445482867,0.32376502002670227,0.3685747663551402,0.411214953271028,0.44975852936594485
category_name,traffic sign,6419,0.44975852936594485,estimable,spatial_agreement,0.6153882470012266,0.32404392196434423,0.6702610326841023,0.22961256995536816,0.004985200186945007,0.014644025549150959,0.062315002336812586,0.05656079761126898,6419.0,0.6515855537634136,0.3249221183800623,0.3696039163328883,0.39602803738317754,0.4205607476635514,0.44975852936594485
category_name,train,349,0.997134670487106,estimable,capacity_control_product,0.9999502401207159,0.9885853307516194,0.9827586206896551,0.12370582678309522,0.0,0.0,0.0,0.30077437861937323,349.0,0.40638726400875674,0.9942857142857143,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,estimable,confidence,0.9999585935021646,0.9881077758328037,0.985632183908046,0.11933020283689985,0.0,0.0,0.0,0.3017195605087839,349.0,0.4031347235383169,0.9942857142857143,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,estimable,direct_spatial_fusion,0.9999081050379548,0.990218217126626,0.9683908045977011,0.0480612339260942,0.0,0.0,0.0,0.16440562570310033,349.0,0.24575512027617347,0.9942857142857143,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,estimable,equal_fusion,0.9998219348311981,0.9920104273268707,0.9396551724137931,0.07123319894898596,0.0,0.0,0.0,0.22215753286402795,349.0,0.2810580321760562,0.9942857142857143,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,estimable,learned_spatial_quality,0.9985837179424724,0.997306082945807,0.6091954022988506,0.08578185920633441,0.0,0.0,0.0,0.2570170873596676,349.0,0.327593302332855,0.9942857142857143,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,estimable,product_fusion,0.9998653429229801,0.9912521760044245,0.9540229885057471,0.07949671314796727,0.0,0.0,0.0,0.2335531350293634,349.0,0.2994545718248522,0.9942857142857143,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,train,349,0.997134670487106,estimable,spatial_agreement,0.9978345063424888,0.9981849632955229,0.46839080459770116,0.28638552013653523,0.0,0.0,0.0,0.47849877851758477,349.0,0.9014289451939501,1.0,0.9959183673469387,0.9964285714285714,0.9968253968253968,0.997134670487106
category_name,truck,2651,0.8125235760090532,estimable,capacity_control_product,0.938378881736786,0.6128708768649663,0.8191432718875931,0.18182585724347722,0.01735194266314598,0.024141833270463976,0.06035458317615994,0.23798280337595776,2651.0,0.5425669059290499,0.6779788838612368,0.7494612068965517,0.7755775577557755,0.7963118189438391,0.8125235760090532
category_name,truck,2651,0.8125235760090532,estimable,confidence,0.9392348528230644,0.6051029339186781,0.827606306361848,0.1677941844106594,0.01961523953225198,0.025273481705016976,0.07167106752168993,0.22732527974023026,2651.0,0.5126887550522587,0.6764705882352942,0.7532327586206896,0.776049033474776,0.7967309304274938,0.8125235760090532
category_name,truck,2651,0.8125235760090532,estimable,direct_spatial_fusion,0.9328399601793804,0.6214686620199817,0.8001425451501956,0.17397677633050096,0.01093926820067899,0.01923802338740098,0.04602036967182195,0.20627155161742408,2651.0,0.5208346467460615,0.6885369532428356,0.7575431034482759,0.7755775577557755,0.7942162615255658,0.8125235760090532
category_name,truck,2651,0.8125235760090532,estimable,equal_fusion,0.9256615042533237,0.6282574786200956,0.7855143862244964,0.19474223434429666,0.00980761976612599,0.01735194266314598,0.04828366654092795,0.23978112815695224,2651.0,0.5809133544338645,0.6945701357466063,0.7575431034482759,0.7784064120697785,0.7954735959765298,0.8125235760090532
