score_threshold,rows,status,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
0.10,572,estimable,spatial_agreement,0.9433170047466285,0.6828890411650204,0.785431318436749,0.14067864525859977,0.0,0.0,0.0,0.1505091964474253,0.8356643356643356,572,0.9181439361915182,0.7377622377622378,0.7855361596009975,0.7991266375545851,0.8174757281553398,0.8356643356643356
0.20,189,estimable,capacity_control_product,0.8600483331320562,0.301062997266393,0.8273242630385488,0.17034125969970604,0.14285714285714285,0.164021164021164,0.24338624338624337,0.055584243354423114,0.5555555555555556,189,0.8358750851593716,0.3157894736842105,0.42857142857142855,0.46710526315789475,0.5087719298245614,0.5555555555555556
0.20,189,estimable,confidence,0.7880356103749775,0.3093504212598383,0.7978458049886621,0.19189472540118288,0.15343915343915343,0.1746031746031746,0.24338624338624337,0.08050422264421941,0.5555555555555556,189,0.9074169627893646,0.3263157894736842,0.44360902255639095,0.506578947368421,0.5321637426900585,0.5555555555555556
0.20,189,estimable,direct_spatial_fusion,0.8341429645361031,0.30251689909785046,0.8184807256235828,0.17600918341183397,0.07407407407407407,0.21164021164021163,0.30158730158730157,0.07223182463000342,0.5555555555555556,189,0.8653392913629907,0.29473684210526313,0.44360902255639095,0.47368421052631576,0.52046783625731,0.5555555555555556
0.20,189,estimable,equal_fusion,0.8282088773907259,0.30151087862401454,0.8140589569160998,0.18450426477668141,0.14814814814814814,0.18518518518518517,0.291005291005291,0.11825510083799154,0.5555555555555556,189,0.9476095030296371,0.28421052631578947,0.46616541353383456,0.48026315789473684,0.5146198830409356,0.5555555555555556
0.20,189,estimable,learned_spatial_quality,0.7674542980141098,0.34052371953072075,0.7438775510204082,0.2364140930915131,0.1164021164021164,0.15873015873015872,0.25396825396825395,0.18043309703583532,0.5555555555555556,189,1.787229843401068,0.3684210526315789,0.48872180451127817,0.506578947368421,0.52046783625731,0.5555555555555556
0.20,189,estimable,product_fusion,0.8269686837828547,0.3005593213117877,0.8159863945578231,0.1980388431306392,0.15343915343915343,0.19047619047619047,0.2751322751322751,0.13048963195580576,0.5555555555555556,189,1.3389429010141025,0.29473684210526313,0.45112781954887216,0.4868421052631579,0.5146198830409356,0.5555555555555556
0.20,189,estimable,spatial_agreement,0.7305176459757095,0.3922257849003177,0.7171201814058957,0.2332282742208283,0.0,0.0,0.13227513227513227,0.14201750111271244,0.5555555555555556,189,1.6669205033108543,0.3894736842105263,0.48120300751879697,0.5263157894736842,0.5321637426900585,0.5555555555555556
0.30,81,estimable,capacity_control_product,0.57372421265878,0.13561228416326476,0.7361319340329835,0.16951642264764585,0.3333333333333333,0.38271604938271603,0.8395061728395061,0.05727269555281218,0.2839506172839506,81,0.47895568311109166,0.1951219512195122,0.21052631578947367,0.2,0.2465753424657534,0.2839506172839506
0.30,81,estimable,confidence,0.4687686173985588,0.13833732634850665,0.7188905547226387,0.18940405940410732,0.35802469135802467,0.4074074074074074,0.5679012345679012,0.10212932283912454,0.2839506172839506,81,0.5312904764195593,0.17073170731707318,0.22807017543859648,0.24615384615384617,0.2602739726027397,0.2839506172839506
0.30,81,estimable,direct_spatial_fusion,0.6081203644612259,0.13254524750391264,0.760119940029985,0.1791987304346037,0.1728395061728395,0.49382716049382713,0.7530864197530864,0.09622549087449493,0.2839506172839506,81,0.5175371312402952,0.12195121951219512,0.19298245614035087,0.2153846153846154,0.2328767123287671,0.2839506172839506
0.30,81,estimable,equal_fusion,0.5566987692341956,0.1310210320998978,0.7466266866566716,0.17278226288572196,0.345679012345679,0.43209876543209874,0.6790123456790124,0.08852561731404233,0.2839506172839506,81,0.650834085335967,0.14634146341463414,0.22807017543859648,0.2153846153846154,0.2465753424657534,0.2839506172839506
0.30,81,estimable,learned_spatial_quality,0.5440678686951586,0.13822258111981356,0.7323838080959519,0.2381769101167165,0.2839506172839506,0.43209876543209874,0.7407407407407407,0.17142868622715193,0.2839506172839506,81,2.164834822635059,0.17073170731707318,0.21052631578947367,0.24615384615384617,0.2602739726027397,0.2839506172839506
0.30,81,estimable,product_fusion,0.5616962723318404,0.13058811898669956,0.7473763118440779,0.1698882690621357,0.35802469135802467,0.4444444444444444,0.6419753086419753,0.08877128012933569,0.2839506172839506,81,0.6388359745506755,0.17073170731707318,0.22807017543859648,0.2153846153846154,0.2465753424657534,0.2839506172839506
0.30,81,estimable,spatial_agreement,0.5417061778288038,0.14726979112422567,0.7398800599700149,0.22083297487490416,0.1111111111111111,0.37037037037037035,0.7530864197530864,0.20666822638765822,0.2839506172839506,81,1.8046800405079326,0.12195121951219512,0.17543859649122806,0.2153846153846154,0.273972602739726,0.2839506172839506
