image_id,n,precision_mc,precision_det,mean_score_mc,aurc_mc,aurc_det,aurc_fus,rc50_mc,rc50_det,rc50_fus,ap
3935,12,0.6666666666666666,0.6666666666666666,0.3738405704498291,0.0700186387686388,0.26613155363155366,0.3890001202501203,0.16666666666666663,0.33333333333333337,0.16666666666666663,0.9121572871572872
3941,20,0.75,0.75,0.40201826095581056,0.3670795769847628,-0.0447008852001112,-0.017883792978607205,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.7798195089952896
3950,9,0.5555555555555556,0.5555555555555556,0.3211628794670105,0.039395943562610225,-0.057495590828924165,0.10421075837742505,0.25,0.25,0.0,0.9240362811791383
3963,9,0.7777777777777778,0.6666666666666666,0.3777032925022973,-0.02960758377425045,0.07784391534391544,0.29678130511463846,0.25,0.75,0.25,0.6275724275724276
4054,19,0.631578947368421,0.631578947368421,0.38990969563785355,-0.07093315859814142,0.27447333549256314,0.3439550233953037,0.33333333333333337,0.4444444444444444,0.33333333333333337,0.8486568986568985
4074,13,0.7692307692307693,0.7692307692307693,0.41555097699165344,-0.016815022584253367,0.24871666794743713,-0.016815022584253367,0.16666666666666663,0.33333333333333337,0.16666666666666663,0.8748523698523698
4081,13,0.6923076923076923,0.6923076923076923,0.42828171528302705,0.06163110393879623,0.18543785274554514,0.3621805544882469,0.0,0.33333333333333337,0.16666666666666663,0.8395562770562771
4085,15,0.4666666666666667,0.4,0.3807227392991384,0.23657490657490654,0.029963554963554906,0.2832415732415732,0.4285714285714286,0.2857142857142857,0.4285714285714286,0.7491452991452991
4089,20,0.6,0.6,0.38136513978242875,-0.045281710034031974,-0.24355745540149565,-0.015559487811809797,0.30000000000000004,0.5,0.30000000000000004,0.7949813258636789
4096,9,0.5555555555555556,0.4444444444444444,0.3409084247218238,0.20361552028218685,-0.22087742504409172,0.14805996472663133,0.5,0.75,0.5,0.7166666666666667
4105,11,0.7272727272727273,0.7272727272727273,0.3574741076339375,0.11909681227863045,-0.001646333464515301,-0.16878197560015745,0.6,0.19999999999999996,0.6,0.7901587301587302
4130,28,0.6071428571428571,0.6428571428571429,0.42097073580537525,0.32399921893630185,-0.23989166714027538,-0.16774263294101094,0.3571428571428571,0.4285714285714286,0.3571428571428571,0.87687289291862
4140,22,0.5454545454545454,0.6818181818181818,0.4346620792692358,0.3166819174664658,-0.1411308997785215,0.22685013039467028,0.36363636363636365,0.2727272727272727,0.4545454545454546,0.7132633755256489
4150,15,0.6,0.6,0.4434167643388112,0.018736818736818706,0.2142187442187442,0.39783975283975287,0.2857142857142857,0.4285714285714286,0.1428571428571429,0.7256507906192778
4155,14,0.7857142857142857,0.7857142857142857,0.4495811717850821,0.027748640248640266,0.3331363081363081,0.3358835608835609,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.8966495625586536
4170,19,0.7368421052631579,0.631578947368421,0.4672653784877376,-0.11499268637324683,0.22097670742163172,0.1835889951031714,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.9432539682539682
4175,14,0.7857142857142857,0.7857142857142857,0.4589964236531939,-0.08256921649778791,-0.009156121656121632,-0.07930957930957931,0.2857142857142857,0.1428571428571429,0.1428571428571429,0.9440771349862258
4223,9,0.5555555555555556,0.5555555555555556,0.3912675711843703,0.2906525573192239,-0.05690035273368607,-0.14453262786596124,0.25,0.25,0.5,0.8069444444444444
4254,15,0.7333333333333333,0.8,0.4015371719996134,0.35534891034891036,0.015216635216635188,0.020770525770525752,0.1428571428571429,0.0,0.1428571428571429,0.9399962028921305
4264,6,0.8333333333333334,0.8333333333333334,0.3916405389706294,0.011111111111111092,0.011111111111111092,0.011111111111111092,0.0,0.0,0.0,0.7023809523809523
