domain,status,rows,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,mce,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
severity_1,estimable,27531,class_uncertainty,0.8951132185657746,0.28543262228343996,0.8703369001466791,0.14556658777087902,0.08328792996985217,0.20002905815262795,0.36471613817151577,0.0193166464640725,0.5649268097780683,0.04739532458063367,27531,0.4504980311436161,0.28635769286648266,0.40794935657949355,0.4669693530079455,0.5188070062151909,0.5649268097780683
severity_1,estimable,27531,confidence_calibrated,0.7801861972529565,0.3467963039214846,0.7729405123521158,0.18993461450603585,0.0036322690784933347,0.014274817478478806,0.2259997820638553,0.026198230474057352,0.5649268097780683,0.12309245480330966,27531,0.5682486598492389,0.3642307133517362,0.4593711083437111,0.4990238365493757,0.5351925094842199,0.5649268097780683
severity_1,estimable,27531,flat_joint,0.9033096594477568,0.2729356361362917,0.8851724045788869,0.13609326763803506,0.1418037848243798,0.24230867022629035,0.40220115506156695,0.018691197530789898,0.5649268097780683,0.07463937280231506,27531,0.4259777050233026,0.273572570100247,0.40623702781237025,0.4665607264472191,0.5195334570990394,0.5649268097780683
severity_1,estimable,27531,localization_only,0.764456608020073,0.36852293787694296,0.7436651607052116,0.20308573994081325,0.0,0.0,0.16581308343322074,0.03588667543996843,0.5649268097780683,0.2116076546867471,27531,0.5982203469312307,0.39168967020194684,0.46948941469489414,0.5027014755959137,0.5337396077165227,0.5649268097780683
severity_1,estimable,27531,localization_uncertainty,0.83195004064443,0.31232105558908435,0.8202761128422533,0.16970706517431025,0.05550107151937816,0.1432203697649922,0.30282227307398935,0.023636062151117347,0.5649268097780683,0.3811389545111359,27531,0.5151330689027539,0.3250036321371495,0.4376816106268161,0.4849489216799092,0.5276858503511179,0.5649268097780683
severity_1,estimable,27531,multilevel,0.8853429896103668,0.283552024490823,0.8670306876608702,0.14664177196988729,0.12811013039845992,0.21361374450619303,0.3666775634739021,0.018248657497407637,0.5649268097780683,0.18682018312447946,27531,0.4539243439926518,0.2870841202963824,0.4132420091324201,0.4710102156640182,0.5209863588667366,0.5649268097780683
severity_1,estimable,27531,raw_confidence,0.7801861972529565,0.3467963039214846,0.7729405123521158,0.21507540021097452,0.0036322690784933347,0.014274817478478806,0.2259997820638553,0.11733392939187479,0.5649268097780683,0.30576918495315064,27531,0.6187971008425917,0.3642307133517362,0.4593711083437111,0.4990238365493757,0.5351925094842199,0.5649268097780683
severity_1,estimable,27531,uncertainty_only,0.8421948859563608,0.3165293579478568,0.8216103384291291,0.17029687219873904,0.02764156768733428,0.10210308379644764,0.29403218190403546,0.021113851898527998,0.5649268097780683,0.2972831697906463,27531,0.517636426917426,0.32681970071189886,0.43223329182233294,0.47963677639046537,0.5248204051981596,0.5649268097780683
severity_2,estimable,13740,class_localization,0.909364078110404,0.28355396215298484,0.8856295955216714,0.1353255733974173,0.1660844250363901,0.23901018922852985,0.36899563318777295,0.014915152620787296,0.5779475982532751,0.5932899656959573,13740,0.4206380035789872,0.28646288209606985,0.42326887086712417,0.48180494905385735,0.5332362930616206,0.5779475982532751
severity_2,estimable,13740,class_only,0.913588573192704,0.2879358826798506,0.8840345309200621,0.1367031795322849,0.12438136826783115,0.20713245997088792,0.3556768558951965,0.022229920524132793,0.5779475982532751,0.8357457415340748,13740,0.42410552368186427,0.2934497816593886,0.4160948222083593,0.48034934497816595,0.532346757237587,0.5779475982532751
severity_2,estimable,13740,class_uncertainty,0.9094196829913138,0.2908626759364014,0.8801010443919057,0.13957985757225586,0.11229985443959244,0.20181950509461427,0.35458515283842795,0.021421058826453745,0.5779475982532751,0.058410145316934614,13740,0.4313194818027013,0.28922852983988356,0.4201497192763568,0.4800764192139738,0.5328319585961507,0.5779475982532751
severity_2,estimable,13740,confidence_calibrated,0.7860143827604388,0.36109356738589277,0.7677144570627241,0.19020838945491753,0.0031295487627365356,0.02794759825327511,0.20705967976710335,0.027680480167663463,0.5779475982532751,0.09349971182322636,13740,0.56804005284873,0.3861717612809316,0.4770222499480141,0.5156477438136827,0.5475497331392528,0.5779475982532751
severity_2,estimable,13740,flat_joint,0.9240176796196506,0.2760210393226315,0.9015979614617278,0.12527483866965278,0.14912663755458516,0.24548762736535662,0.4032023289665211,0.013040137850756342,0.5779475982532751,0.13014134472128713,13740,0.39523591028456817,0.2694323144104803,0.4145352464129757,0.4798034934497817,0.5326702248099628,0.5779475982532751
severity_2,estimable,13740,localization_only,0.7924986752431156,0.3693438546445345,0.7627739533361003,0.19366528684688492,0.0,0.0,0.17620087336244541,0.025620150637932448,0.5779475982532751,0.07816377171215882,13740,0.575463937368871,0.3880640465793304,0.47775005198585985,0.5129184861717613,0.54463852498787,0.5779475982532751
severity_2,estimable,13740,localization_uncertainty,0.847415445971403,0.3207844777957648,0.8258644831029776,0.165272778199168,0.08391557496360989,0.14425036390101892,0.28951965065502183,0.016706257649379642,0.5779475982532751,0.10587366977662548,13740,0.501715155403452,0.3400291120815138,0.450925348305261,0.499363173216885,0.5401908458677017,0.5779475982532751
severity_2,estimable,13740,multilevel,0.9027722622279148,0.28960034521037414,0.8778648160464508,0.14021687651639225,0.1254730713245997,0.21695778748180494,0.3648471615720524,0.02012080184248634,0.5779475982532751,0.13935597873847744,13740,0.43337285853151797,0.29097525473071323,0.425764192139738,0.4836244541484716,0.5334788937409025,0.5779475982532751
severity_2,estimable,13740,raw_confidence,0.7860143827604388,0.36109356738589277,0.7677144570627241,0.21464907183627155,0.0031295487627365356,0.02794759825327511,0.20705967976710335,0.11227361151658463,0.5779475982532751,0.3195953071117401,13740,0.6179017065201169,0.3861717612809316,0.4770222499480141,0.5156477438136827,0.5475497331392528,0.5779475982532751
severity_2,estimable,13740,uncertainty_only,0.8513986562887612,0.3254696349626623,0.8241937288016453,0.16758452985849728,0.03369723435225619,0.1259825327510917,0.2729985443959243,0.01496638003244675,0.5779475982532751,0.5006120096233765,13740,0.5085285209057891,0.3398835516739447,0.4477022249948014,0.4952692867540029,0.5384926411127284,0.5779475982532751
severity_3,estimable,1445,class_localization,0.9077240304440368,0.2726890541696125,0.8936037190779131,0.1286843428804154,0.23183391003460208,0.28512110726643597,0.3958477508650519,0.031489651964530636,0.5750865051903115,0.13720930232558148,1445,0.40122722422390206,0.2835408022130014,0.4209486166007905,0.4801038062283737,0.5303612605687933,0.5750865051903115
severity_3,estimable,1445,class_only,0.9195596028099846,0.27507275506049844,0.8961378504764479,0.1291474755745176,0.19377162629757785,0.23806228373702423,0.3958477508650519,0.029411148042747262,0.5750865051903115,0.23565948118377789,1445,0.3989116550187822,0.2697095435684647,0.41106719367588934,0.47750865051903113,0.5303612605687933,0.5750865051903115
severity_3,estimable,1445,class_uncertainty,0.9020974350896738,0.28398168716687955,0.8810075377179883,0.13856405970979122,0.1467128027681661,0.2512110726643599,0.38408304498269896,0.035696186343007454,0.5750865051903115,0.13758773814639758,1445,0.42731178350407045,0.2987551867219917,0.4209486166007905,0.4809688581314879,0.5303612605687933,0.5750865051903115
severity_3,estimable,1445,confidence_calibrated,0.778002086817892,0.3583897693627503,0.7660818369610806,0.1933672622554283,0.03321799307958478,0.0643598615916955,0.21314878892733563,0.046736685644384456,0.5750865051903115,0.1601269780662291,1445,0.5718295269010486,0.3775933609958506,0.47035573122529645,0.513840830449827,0.5495772482705611,0.5750865051903115
severity_3,estimable,1445,flat_joint,0.9248742792566971,0.26463679019961484,0.9113935958795376,0.11741748152598101,0.213840830449827,0.2948096885813149,0.42629757785467126,0.031153950317818827,0.5750865051903115,0.1865079365079365,1445,0.3727773328057624,0.2572614107883817,0.41304347826086957,0.4749134948096886,0.531129900076864,0.5750865051903115
severity_3,estimable,1445,localization_only,0.7872595600717753,0.35190355492325726,0.7701544781414018,0.1893398246375723,0.032525951557093424,0.12664359861591695,0.21522491349480968,0.029120822025236807,0.5750865051903115,0.684622917767264,1445,0.5703391660291243,0.3775933609958506,0.4782608695652174,0.509515570934256,0.5426594926979247,0.5750865051903115
severity_3,estimable,1445,localization_uncertainty,0.8304332950401209,0.31627704459703315,0.8190614502365582,0.16556910997640445,0.10449826989619378,0.18269896193771626,0.31557093425605537,0.01930452901075343,0.5750865051903115,0.08753978165500817,1445,0.5039376160914644,0.34854771784232363,0.45849802371541504,0.5034602076124568,0.5388162951575711,0.5750865051903115
severity_3,estimable,1445,multilevel,0.893432604833221,0.2826198349057642,0.8784753662045257,0.13798363526152546,0.1750865051903114,0.25813148788927337,0.38200692041522494,0.026308137673471177,0.5750865051903115,0.7895876298186142,1445,0.4302689628935985,0.29737206085753803,0.4268774703557312,0.4809688581314879,0.5326671790930054,0.5750865051903115
severity_3,estimable,1445,raw_confidence,0.778002086817892,0.3583897693627503,0.7660818369610806,0.21615962822224855,0.03321799307958478,0.0643598615916955,0.21314878892733563,0.12168378023540273,0.5750865051903115,0.3124212832143991,1445,0.6212019941056864,0.3775933609958506,0.47035573122529645,0.513840830449827,0.5495772482705611,0.5750865051903115
severity_3,estimable,1445,uncertainty_only,0.8322533669826502,0.3232484170391435,0.8133425055954719,0.17026196640870894,0.06228373702422145,0.16124567474048443,0.29204152249134946,0.036702450282143556,0.5750865051903115,0.16666666666666666,1445,0.5154552594485702,0.34163208852005533,0.45553359683794464,0.5025951557093425,0.5372790161414297,0.5750865051903115
shift_scene,estimable,15391,class_localization,0.9158445726390884,0.2692813064087717,0.8974312648698145,0.1280936858273421,0.19290494444805406,0.272496913780781,0.40055876811123386,0.022992892745786368,0.5714378532908843,0.6256391857233831,15391,0.4005555520274133,0.27014033264033266,0.4108966029329868,0.47397060017867293,0.5258446433727981,0.5714378532908843
shift_scene,estimable,15391,class_only,0.9189280478267925,0.2753454715415495,0.893166134074056,0.13157427189378065,0.1565200441816646,0.2268208693392242,0.3849652394256384,0.026173516899748017,0.5714378532908843,0.1721454322787268,15391,0.40874174645825223,0.2767671517671518,0.4039354000371264,0.4715341508974255,0.5249783424776205,0.5714378532908843
shift_scene,estimable,15391,class_uncertainty,0.9119397512505549,0.27965845954311747,0.8862660057898546,0.13592211278547328,0.15002274056266648,0.22305243324020532,0.3728152816581119,0.0207070443481617,0.5714378532908843,0.045720163421631765,15391,0.41933594549109476,0.2796257796257796,0.40783367365880824,0.4713717209453423,0.5256280681490038,0.5714378532908843
shift_scene,estimable,15391,confidence_calibrated,0.779153503859851,0.3540188023908386,0.7656251088140315,0.19165767269476539,0.007991683451367682,0.07419920732895849,0.21843934767071665,0.03191357161347853,0.5714378532908843,0.12499990000000005,15391,0.5708638689009443,0.38071725571725573,0.47094857991460926,0.5089742548525948,0.5417990181923188,0.5714378532908843
shift_scene,estimable,15391,flat_joint,0.9302306886608992,0.2625130978373892,0.9122358340076212,0.1184462358016353,0.19245013319472418,0.279384055616919,0.43220063673575465,0.018113763546538375,0.5714378532908843,0.13030967876856203,15391,0.3753270765739063,0.2537681912681913,0.4024503434193429,0.4706407861609681,0.5257002598902686,0.5714378532908843
shift_scene,estimable,15391,localization_only,0.8056478454732227,0.3477322713929175,0.7846696069869898,0.1851686924833951,0.0,0.0,0.23429276850107206,0.018886211343674658,0.5714378532908843,0.1668525881800727,15391,0.5569554402240421,0.3614864864864865,0.4617597920920735,0.4994721026557297,0.5367455963037828,0.5714378532908843
shift_scene,estimable,15391,localization_uncertainty,0.8502557569059928,0.3093458617602448,0.8329687639518981,0.16231660013948632,0.08530959651744525,0.17185368072250015,0.31154570853095964,0.015736370053097925,0.5714378532908843,0.05272861896702674,15391,0.49440550550598444,0.32913201663201663,0.4394839428253202,0.4895638755786567,0.5326306670516893,0.5714378532908843
shift_scene,estimable,15391,multilevel,0.9060773064594505,0.2778143145868567,0.8854669444951045,0.13595044587749852,0.15684490936261453,0.2424143980248197,0.38431550906373857,0.020846844201318635,0.5714378532908843,0.13371493027391962,15391,0.42140900665586783,0.27767671517671516,0.4133098199368851,0.4746203199870056,0.5265665607854462,0.5714378532908843
shift_scene,estimable,15391,raw_confidence,0.779153503859851,0.3540188023908386,0.7656251088140315,0.2162778255707946,0.007991683451367682,0.07419920732895849,0.21843934767071665,0.11235045724875214,0.5714378532908843,0.3249983406066894,15391,0.6216082718070043,0.38071725571725573,0.47094857991460926,0.5089742548525948,0.5417990181923188,0.5714378532908843
shift_scene,estimable,15391,uncertainty_only,0.8509389610228586,0.3157163679445198,0.8273199151483266,0.16646312117121337,0.048729777142485865,0.15255668897407576,0.2914690403482555,0.014674083810040777,0.5714378532908843,0.5006120096233765,15391,0.5052805350204063,0.33134095634095634,0.43874141451642845,0.4866401364411598,0.5305371065550101,0.5714378532908843
shift_timeofday,estimable,19949,class_localization,0.8829780924738782,0.3085893063217438,0.8525103220878356,0.15378423942661026,0.1279763396661487,0.18457065517068524,0.3031730913830267,0.02587011908952177,0.5828863602185573,0.1390947217027627,19949,0.4668671051780345,0.32360902255639096,0.4413891872538489,0.4926065162907268,0.5399610136452242,0.5828863602185573
shift_timeofday,estimable,19949,class_only,0.8944821699459702,0.31000987284596015,0.8577803766705788,0.15159908976170156,0.07664544588701189,0.16346684044312998,0.3033736026868515,0.022972888942667708,0.5828863602185573,0.33746741148989057,19949,0.4626109321377218,0.32411027568922307,0.43165055495882565,0.48853383458646615,0.5385686438318017,0.5828863602185573
shift_timeofday,estimable,19949,class_uncertainty,0.8928772294546516,0.3114040040753978,0.858698861931758,0.15160728491691983,0.03574113990676225,0.144568650057647,0.31705849917289086,0.023469739724942745,0.5828863602185573,0.055346266775537875,19949,0.46672934904715024,0.318796992481203,0.4343000358037952,0.48928571428571427,0.5386243386243387,0.5828863602185573
shift_timeofday,estimable,19949,confidence_calibrated,0.7875190789643366,0.3746053879007447,0.7651356928791246,0.19201912537172694,0.0006015339114742594,0.0035089478169331796,0.16998345781743446,0.029868066430185,0.5828863602185573,0.1291322155665586,19949,0.5745689466872038,0.3913784461152882,0.4817042606516291,0.5205513784461153,0.5536619326093011,0.5828863602185573
shift_timeofday,estimable,19949,flat_joint,0.9029014412056625,0.29835076405899624,0.874327999246935,0.14223043536117994,0.09263622236703595,0.1929921299313249,0.3439270138854078,0.01953759895584252,0.5828863602185573,0.07094443975600209,19949,0.4414449774401924,0.30406015037593986,0.43071965628356607,0.4882205513784461,0.5387914230019493,0.5828863602185573
shift_timeofday,estimable,19949,localization_only,0.7510986629093444,0.40492781480476897,0.7131232035590176,0.2116787438823273,5.012782595618828e-05,0.015639881698330742,0.10917840493257808,0.04758598289648228,0.5828863602185573,0.2674031807626159,19949,0.6164164195331794,0.4366917293233083,0.5021124239169352,0.5304511278195488,0.5552213868003342,0.5828863602185573
shift_timeofday,estimable,19949,localization_uncertainty,0.8242673331851356,0.3399148176538229,0.8017429986266156,0.1755870552715051,0.05940147375808311,0.11449195448393404,0.25289488194896986,0.024217779655777948,0.5828863602185573,0.3811389545111359,19949,0.528584651712327,0.3630075187969925,0.46838524883637667,0.5110902255639098,0.548760790866054,0.5828863602185573
shift_timeofday,estimable,19949,multilevel,0.880879807241356,0.3102751993716005,0.8522937683581814,0.15365804383810988,0.09378916236402828,0.1697829465136097,0.31284776179257107,0.016650437816969055,0.5828863602185573,0.3693912033060655,19949,0.4710063122469644,0.3235087719298246,0.44196204797708555,0.493984962406015,0.5410192147034252,0.5828863602185573
shift_timeofday,estimable,19949,raw_confidence,0.7875190789643366,0.3746053879007447,0.7651356928791246,0.21508924598478607,0.0006015339114742594,0.0035089478169331796,0.16998345781743446,0.11421083090084105,0.5828863602185573,0.29695133462384227,19949,0.6185765184738565,0.3913784461152882,0.4817042606516291,0.5205513784461153,0.5536619326093011,0.5828863602185573
shift_timeofday,estimable,19949,uncertainty_only,0.8393462176103783,0.3428719256235561,0.8082392694541896,0.17472849597856824,0.015038347786856483,0.07238458068073587,0.24046318111183518,0.018993158070328732,0.5828863602185573,0.252396213092249,19949,0.5282597795916252,0.357593984962406,0.4607232366630863,0.5050125313283208,0.5451406293511557,0.5828863602185573
shift_weather,estimable,17078,class_localization,0.9022943913888536,0.2639949931182916,0.8877905637824719,0.13458212972404315,0.19141585665768826,0.270582035367139,0.4077175313268533,0.014454151451636147,0.5593746340320881,0.24781597386159976,17078,0.4190697464771592,0.26197447007846353,0.4009201171058135,0.46044060601624826,0.5133693318586949,0.5593746340320881
shift_weather,estimable,17078,class_only,0.9052694438109002,0.268663463256365,0.8846701650139995,0.1372549471927635,0.14615294530975523,0.2408361634851856,0.3955966740836164,0.016442326202018704,0.5593746340320881,0.16057395812816133,17078,0.425497096056447,0.26548776203302493,0.39682141363446255,0.4597818927029203,0.5121332379155553,0.5593746340320881
shift_weather,estimable,17078,class_uncertainty,0.9033183918202872,0.2707606126809447,0.8830873187633392,0.13814086427992397,0.12723972362103292,0.2295350743646797,0.3996955146972713,0.018817282845017033,0.5593746340320881,0.06928871837704623,17078,0.42913262556028314,0.2658390912284811,0.39824341279799247,0.45919636975773986,0.5127187560991477,0.5593746340320881
shift_weather,estimable,17078,confidence_calibrated,0.7797480738261473,0.33483185355146006,0.7770191201177693,0.1883745715739539,0.016922356247804193,0.07600421595034547,0.24540344302611547,0.026527055768985897,0.5593746340320881,0.05245863307766607,17078,0.5611337999796778,0.35531092633797867,0.4511083228774571,0.49315670057820393,0.5290482076637825,0.5593746340320881
shift_weather,estimable,17078,flat_joint,0.9138115161250087,0.25826194246572975,0.9003150877444354,0.12605708726339562,0.17999765780536361,0.27538353437170626,0.4378147324042628,0.015264947965607595,0.5593746340320881,0.1324216891861325,17078,0.398294158729721,0.24909239957840495,0.3941447093266416,0.4589767986532972,0.5127838136751025,0.5593746340320881
shift_weather,estimable,17078,localization_only,0.7855517070232869,0.34984293840179453,0.7671894619734699,0.19469100708682802,0.0,0.0,0.19539758753952455,0.026345200068894452,0.5593746340320881,0.13993453355155483,17078,0.5791115918706243,0.36467970488347584,0.4530322040987035,0.4904486569567445,0.5237134864354954,0.5593746340320881
shift_weather,estimable,17078,localization_uncertainty,0.8426273765629955,0.2992527636790435,0.8327643122666238,0.1639926792405124,0.08472889097083967,0.16582738025529922,0.326501932310575,0.019820539941009695,0.5593746340320881,0.08700877720615202,17078,0.4990634690025005,0.30799859468321816,0.4255959849435383,0.47654248700870966,0.5200702621820311,0.5593746340320881
shift_weather,estimable,17078,multilevel,0.8963984862359463,0.2692886189128228,0.8815975778425174,0.1384677013857783,0.14662138423703008,0.24680875980794004,0.4046141234336573,0.020987068913729413,0.5593746340320881,0.2798655713435792,17078,0.4310434835339948,0.2649022133739314,0.40083647009619405,0.4617580326429042,0.5140199076182421,0.5593746340320881
shift_weather,estimable,17078,raw_confidence,0.7797480738261473,0.33483185355146006,0.7770191201177693,0.21537202952734963,0.016922356247804193,0.07600421595034547,0.24540344302611547,0.12002129069496643,0.5593746340320881,0.3088795262590063,17078,0.6195006364101897,0.35531092633797867,0.4511083228774571,0.49315670057820393,0.5290482076637825,0.5593746340320881
shift_weather,estimable,17078,uncertainty_only,0.8458578842094288,0.30305775147409625,0.8308194221919121,0.16577104632506812,0.06394191357301791,0.13614006323925518,0.317484482960534,0.01622991036854558,0.5593746340320881,0.5006120096233765,17078,0.5041650363421001,0.30975524066049887,0.42266833960685907,0.4730293493376272,0.5190293409667556,0.5593746340320881
shifted,estimable,42716,class_localization,0.8951953328151805,0.2811398050208818,0.8747637286055789,0.14186990039130462,0.1634282236164435,0.2378968068171177,0.3673096731903736,0.015917989602306427,0.5694587508193651,0.13604011686833462,42716,0.4371478246774823,0.28762056372319506,0.417630927697144,0.4744096216311123,0.5246976199765899,0.5694587508193651
shifted,estimable,42716,class_only,0.9003831826588112,0.28619603176666186,0.8729681745332895,0.14364892233891913,0.11824609045790804,0.2000655492087274,0.357266597996067,0.01629157323549568,0.5694587508193651,0.11692708896518533,42716,0.4425383474726173,0.2910853076130724,0.41238044277974717,0.4721856436367893,0.5233970607361166,0.5694587508193651
